psi_token,phone,email,total_orders_12m,avg_order_value,total_spent_12m,days_since_last_order,favorite_category,return_rate,review_score_avg,num_reviews_given,cart_abandonment_rate,mobile_usage_ratio,coupon_usage_rate,peak_shopping_hour,num_wishlist_items,social_shares,customer_service_contacts
546940136554372ce10c4e325f33463c562052beb427ba4fd86c5fc9beaf3937,13349362075,user1457_904@sina.com,17,108.4014261661708,2719.967720589727,39,electronics,0.23738182124530427,4.0140692828875855,2,0.42352215974162827,0.7446000023841051,0.6281877612973009,18,3,2,0
4dc890f8352041140fd27ffc14e686327a32a13b3c768f8e8fd150a0942c4d3c,13578043768,user4062_693@qq.com,14,141.44857210972086,860.7353033782216,15,books,0.02762905840856829,4.1399081604154695,3,0.3432547500946008,0.6594274629138493,0.06224939499462867,14,8,1,1
d0c38975e8af0ea8d9f246d62b359a432c6812dbcf294cf5662dc3f64b84dc13,13012422884,user1987_699@qq.com,11,195.821236645926,959.9368004830736,12,sports,0.014916845280670702,3.885645065392933,1,0.6064099867810363,0.8132981115739941,0.5392741414865783,23,9,3,0
d608baa88a913167232e4a1de8bede71c45dad87fd9cc21e92ad921ef93372c7,13376716264,user1612_307@gmail.com,10,58.94447620241948,235.8090084051832,58,sports,0.08689272784996253,3.8997694134308283,2,0.5566698237482578,0.7975804183463915,0.139524128674077,19,3,0,0
967eddbed04207365222604b233268171459947f5f49e9ebf8c13fcb1f8ae937,13877554883,user1614_543@sina.com,7,606.3768198936126,225.7600830065302,2,electronics,0.07175751264051307,4.681788919146684,1,0.403152324291606,0.7302279501819775,0.4464106571827391,3,6,1,0
d5598225ff303eaa5f2aaca0f74449f2e69f3a995399496b838991e56dbbec2a,13112562720,user3393_897@163.com,9,96.71974822387018,61.07942653092412,9,books,0.17593945626062926,5.0,1,0.22219278329840914,0.7418925852917421,0.5669361128842962,6,10,2,0
45357d6748ab709b727722603985595b76b8abdc194dff32273eaec9a9e546e6,13318081725,user987_603@gmail.com,7,48.34297484454625,3434.2674770244203,6,clothing,0.02074106156231848,3.7391409428505877,3,0.2979375041914944,0.7405891781262866,0.3838178902732993,0,5,0,0
bd025fb232fa5bad38340041f0067b3301676f12e04cf65d9cae64a748d57335,13997765327,user2204_369@sina.com,12,23.764844014606975,475.7133784278218,4,sports,0.05983885339797047,4.366500714502607,4,0.7154691207302742,0.8815800115087764,0.2739715886846327,19,7,2,0
77dd852d7abd7c177432c8fa4fe86582067f6e931613b2c9677dfcf03e035dc1,13671448466,user3568_859@163.com,8,130.80607301657432,3473.657728531571,18,books,0.11015443541742322,5.0,1,0.7150183864506562,0.7649381493527717,0.3016035324638404,1,9,2,0
742b0cddab04c716eee9efed09e1f54c5417817dbabfaea96eb9380f4d16ed15,13299512785,user3180_977@outlook.com,8,77.94159262236151,950.433749000821,11,sports,0.2833803088751964,2.6928623073546656,0,0.9028184871380917,0.8633936038170242,0.22132805023803873,11,7,1,1
ae08eac2321bf27df7c156c0f05c14992d3589d4897ebad20680baf42ac77b45,13467451412,user99_475@sina.com,12,130.5378179161221,2368.535741230305,51,electronics,0.01257322873159009,2.9758598009085473,1,0.45049234044908376,0.4585261986836728,0.13760668871757376,13,13,1,1
805e566ab73d31439ab6225c8d087364fc3555a525bb97929a6633017d5dc38e,13369737236,user710_185@sina.com,19,21.12385359905973,2933.5320518617127,3,clothing,0.038184718846245996,4.559596063817587,2,0.6875736771498587,0.7709870097069536,0.3210445800689585,21,4,1,1
7ae7e214778c2d86232d88c837d8a178562831e6b42ad21ba8aaed9e01be6b34,13316002065,user190_188@163.com,14,114.55641863641141,46.055840793132234,4,home,0.09373939606418678,5.0,1,0.805998627210338,0.7821707572130036,0.30311672234489756,4,8,3,1
c2ad4e08a35beaac84ffa7c29685e60512c47ebea4d8e0ff251e5a77141c3bb3,13167766828,user3443_843@outlook.com,12,77.20810717725149,1720.0183341727593,17,sports,0.06415509362303463,5.0,5,0.9139387443244321,0.5885255592035934,0.5697600818435431,2,7,1,1
155c96acb028b24b56f5aa32993b7afd0f168ad052881480bef3448a21f3ca07,13066202486,user3078_685@gmail.com,13,49.17000532082712,2065.4713290123495,15,home,0.05136363617013499,3.7117753804660976,2,0.8086085696646657,0.7993681910912591,0.48343768603791093,1,11,2,1
99180963586b7c407c586dd28a08530d743c8b60a0e65ff58899ec641eab466d,13577048433,user1242_217@163.com,22,349.9509978756321,2622.038269403665,20,clothing,0.15554114891527013,4.317417324114133,5,0.64080970512246,0.8155564890019777,0.2193702276634917,13,6,1,0
a3a657aea2bca6c666659fa30acd3cb05a3258eeb9c047f410fc689098bf86e7,13054973154,user3391_210@outlook.com,11,26.114107726476202,834.7582889736923,11,sports,0.08541974887771459,4.706090752675761,2,0.6473860128943967,0.47327958979169615,0.5011478031887846,3,7,1,1
50f8df98f492987de73cf67043b5f0af6de53ec84c2a7bc388efc29c219f6c38,13741093186,user1989_294@qq.com,11,75.47411957356209,868.9963304043908,46,sports,0.04603892104764435,3.454073755132161,4,0.7880790715781352,0.844413104597437,0.6259327940967228,23,4,1,1
4cc44408efa995e415e6e7fef54d7dcb049ae5e5823d6593deae66dbaf388c78,13373598863,user199_114@outlook.com,9,77.32980604688875,2782.9402512924794,27,sports,0.13724370172027445,5.0,2,0.5285042594174463,0.9799893310626562,0.43236141591372,21,6,1,3
e7fe2ddd798a36fabaa67a505f06064d51a8b29999ddb71c6ca2a3149d98643a,13611922776,user824_673@qq.com,11,140.1365865178614,4009.480705252898,12,electronics,0.04790307558667244,4.690283791387357,3,0.3938131614208367,0.9071661065035006,0.08307078584426404,19,5,1,1
013ddc4e0abcd77871c51355e0755fd57027c3f0fb17b5cd2d3e89e7c78cc861,13716909685,user793_589@qq.com,16,123.75454818681514,2663.633023620015,42,books,0.05875221594035588,5.0,2,0.32312273503015393,0.7428587424058932,0.06356507062690221,4,9,1,0
168161f9b1a93ce901a3001303499ffb56085a12167091f1e78da423d754d2b1,13262816858,user2687_587@163.com,12,19.297850246229785,5992.809187390703,10,clothing,0.00028883101718833146,5.0,5,0.9156162420544789,0.6589298309753153,0.8159836071560869,18,6,0,1
f50f222831339f43b783597ba31935ce49b33ba63dc511bbdd17fb84b1082cd7,13678112181,user1788_648@gmail.com,9,409.84647378802396,1629.8848952164947,0,electronics,0.15658974410383136,4.990915353414495,5,0.8313319558614376,0.4400295578188674,0.5584771173985175,17,7,1,0
372fa7f82af7327102b91f1a42085c554aa9f898e77115329dc1f9ca0e8ad241,13956588544,user593_650@sina.com,14,32.56615338920286,8244.617897597403,12,sports,0.2046414449267214,3.7370446483824806,3,0.4344611906021907,0.793795222196192,0.22934034298260345,20,10,4,0
e26bd9121bd76cde78749aa583fa8a2597ad16be5e5d7f5e9ef392e21c28ff60,13769561089,user1002_819@sina.com,14,83.52198450114321,505.6654237514505,19,clothing,0.15934611888961542,5.0,1,0.61308509224459,0.5461132556414968,0.08188039660426766,5,11,2,3
1128ff8087e2f90b64110e86832f3d126b925d60e6cc616094c0b2e185204437,13597965980,user3776_364@outlook.com,11,41.574556432539076,13469.006011705258,7,books,0.2723039626118577,4.671777148507797,7,0.5320142078445942,0.6436850191571647,0.6273772400732169,23,6,2,2
fa2884470c4156923b16e6d5f9842adf8db10300ed99113932ce0637a1fdacf9,13097089052,user2470_711@outlook.com,4,71.16207253797899,1515.321022891002,27,books,0.23045596623697442,3.43890044972874,4,0.5590809699968682,0.720626468634979,0.22197475948471845,0,8,3,1
622000144a6b7ad36563a40f7cc427dd1265ef3d099020d582341aa9437f1437,13065774618,user1431_635@sina.com,14,329.04557236134394,1221.3379032958355,1,electronics,0.11567429048142927,2.9759763822990477,3,0.26763089088596403,0.7275125997970234,0.19562728827830347,10,7,4,0
ad9818fb30567c283079fedf287fd8c5a3d14fbc40baecdd3fae09a6da327124,13574741770,user2038_919@163.com,21,124.02881913766787,1624.9655833364461,11,electronics,0.011330658365707182,3.9694274281964006,1,0.32513206595142113,0.7070571675374363,0.143221771612358,4,10,0,0
edf37e4d885a5f06abb015bdd17da34bee5f545e6f9a934589a27165c76c0dcb,13353507501,user4088_543@qq.com,10,409.29111753267483,2416.8109146366096,27,books,0.03470779840185122,3.8096957625908643,2,0.5516766874963024,0.805256954706417,0.38091087098283766,8,8,1,0
